"The Jerk","Director/Carl Reiner"
"Postman Always Rings Twice  (1942)","OscarWinner/no"
"Where Eagles Dare","Country/USA"
"2001 space odyssey","Country/USA"
"Spirit of the Beehive","Genre/Art&Drama"
"Apocalypse Now","Director/Francis Coppola"
"Don't Look Now","Genre/Horror"
"Alien","Director/Ridley Scott"
"Kind Hearts & Coronets","OscarWinner/no"
"Planet of the Apes","Country/USA"
"The Wicker Man","Genre/Horror"
"Rosemary's Baby","Country/USA"
"Rashomon","OscarWinner/no"
"Long Good Friday","Director/John McKenzie"
"The Exorcist","Genre/Horror"
"My Night With Maud","Country/France"
"Chinatown","Genre/Crime"
"Airplane!","Director/Jim Abrahams\, David Zucker and Jerry Zucker"
"Day the Earth Stood Still","OscarWinner/no"
"The Wild Bunch","Country/USA"
"Roman Holiday","OscarWinner/yes"
"The Wages of Fear","OscarWinner/no"
"The Shining","Director/Stanley Kubrick"
"Butch Cassidy","Country/USA"
"Tokyo Story","OscarWinner/no"
"MASH","Country/USA"
"Voyage to Italy","OscarWinner/no"
"Raiders of the Lost Ark","Director/Steven Spielberg"
"All That Heaven Allows","OscarWinner/no"
"The Conformist","Country/Italy"
"The Ladykillers","OscarWinner/no"
"Evil Dead/Evil Dead II","Director/Sam Raimi"
"Pather Panchali","OscarWinner/no"
"Harold & Maude","Country/USA"
